label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · mlp · joint baseline,5010,late,0.0,42,300049,0.0,0.25,0.592905284423511,0.5871942024135488,0.005711082009962176,0.5566118125407932,0.5217855263318072,0.03482628620898598,0.45991451884714085,0.4709078868949127,-0.010993368047771845,2.4452269497964654,2.462319107642066,0.6990008778949203,0.47822847962379456,0.4839152991771698,1.189142804261441
learned · mlp · joint baseline,5016,late,0.0,42,300049,0.0,0.0,0.8202720075504604,0.8202720075504604,0.0,0.7992542864637864,0.7992542864637864,0.0,0.725844336699546,0.725844336699546,0.0,3.607775271822816,3.607775271822816,0.0,0.1903066635131836,0.1903066635131836,0.0
learned · mlp · joint baseline,5016,late,0.0,42,300049,0.0,0.1,0.8202720075504604,0.8171097052761211,0.0031623022743392237,0.7992542864637864,0.786916572927524,0.01233771353626234,0.725844336699546,0.7216199357672044,0.004224400932341554,3.607775271822816,3.6393761590507725,0.875910633202779,0.1903066635131836,0.19610129296779633,3.0448904665975114
learned · mlp · joint baseline,5016,late,0.0,42,300049,0.0,0.25,0.8202720075504604,0.8046182279148542,0.015653779635606213,0.7992542864637864,0.7525392574093517,0.0467150290544347,0.725844336699546,0.7182263592798043,0.007617977419741684,3.607775271822816,3.7616088886519514,4.2639467605035035,0.1903066635131836,0.21979831159114838,15.496907745388397
learned · mlp · joint baseline,3014,late,0.0,42,300049,0.0,0.0,0.2509000662814893,0.2509000662814893,0.0,0.19150102768679567,0.19150102768679567,0.0,0.4371749530540301,0.4371749530540301,0.0,3.7562238222591846,3.7562238222591846,0.0,0.25145870447158813,0.25145870447158813,0.0
learned · mlp · joint baseline,3014,late,0.0,42,300049,0.0,0.1,0.2509000662814893,0.22670107339290535,0.02419899288858396,0.19150102768679567,0.18180757722110008,0.009693450465695586,0.4371749530540301,0.4268110026788985,0.010363950375131603,3.7562238222591846,3.8164123014324303,1.6023666858341055,0.25145870447158813,0.25212526321411133,0.26507682202685756
learned · mlp · joint baseline,3014,late,0.0,42,300049,0.0,0.25,0.2509000662814893,0.17871564425021103,0.07218442203127828,0.19150102768679567,0.1519647549928922,0.039536272693903474,0.4371749530540301,0.41716784019235675,0.020007112861673337,3.7562238222591846,3.9330399562583653,4.707284293107818,0.25145870447158813,0.266838937997818,6.116405299450528
learned · mlp · joint baseline,3015,late,0.0,42,300049,0.0,0.0,0.19931226604994,0.19931226604994,0.0,-0.3886538829880424,-0.3886538829880424,0.0,0.2522356605217049,0.2522356605217049,0.0,5.699150729701343,5.699150729701343,0.0,0.2728796601295471,0.2728796601295471,0.0
learned · mlp · joint baseline,3015,late,0.0,42,300049,0.0,0.1,0.19931226604994,0.19646399427596017,0.002848271773979838,-0.3886538829880424,-0.37541414247996374,-0.013239740508078635,0.2522356605217049,0.2533778298702556,-0.0011421693485507145,5.699150729701343,5.709278473010529,0.1777061844741956,0.2728796601295471,0.27330029010772705,0.15414486297008778
learned · mlp · joint baseline,3015,late,0.0,42,300049,0.0,0.25,0.19931226604994,0.17734516016130153,0.021967105888638483,-0.3886538829880424,-0.370826990460275,-0.01782689252776737,0.2522356605217049,0.25835546266731113,-0.006119802145606257,5.699150729701343,5.7768006927334365,1.3624830560703982,0.2728796601295471,0.2892010807991028,5.981178905678503
morse · mlp · distill to simple,4009,late,0.0,42,300049,0.0,0.0,0.6605700043850071,0.6605700043850071,0.0,0.5602126327374235,0.5602126327374235,0.0,0.739829138166884,0.739829138166884,0.0,0.19898449200362073,0.19898449200362073,0.0,0.1514706313610077,0.1514706313610077,0.0
morse · mlp · distill to simple,4009,late,0.0,42,300049,0.0,0.1,0.6605700043850071,0.6607667654662801,-0.0001967610812729781,0.5602126327374235,0.5608329989691285,-0.0006203662317050274,0.739829138166884,0.7403726720124506,-0.0005435338455666017,0.19898449200362073,0.19892680988959238,-0.02898824599220329,0.1514706313610077,0.1531943380832672,1.1379808130272615
