label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · rbf→pinnmamba · joint baseline,2011,late,0.0,42,300049,0.0,0.1,0.9191490260990725,0.9165960855540531,0.002552940545019311,0.9540560111377878,0.951416354204166,0.0026396569336217812,0.8969995435283074,0.8948828438158385,0.0021166997124688613,0.5657763032318547,0.5746393245186374,1.5665239488036098,0.4250407814979553,0.4297561049461365,1.1093814178402162
learned · rbf→pinnmamba · joint baseline,2011,late,0.0,42,300049,0.0,0.25,0.9191490260990725,0.9043912477149428,0.014757778384129616,0.9540560111377878,0.9373271108984035,0.016728900239384337,0.8969995435283074,0.8910210866581758,0.005978456870131543,0.5657763032318547,0.6152490491062771,8.744223749178218,0.4250407814979553,0.4397642910480499,3.4640227928729783
learned · rbf→pinnmamba · joint baseline,2126,late,0.0,42,300049,0.0,0.0,0.6914860454903267,0.6914860454903267,0.0,0.8195959301384297,0.8195959301384297,0.0,0.8247469362478113,0.8247469362478113,0.0,0.9596562409520127,0.9596562409520127,0.0,0.2341136336326599,0.2341136336326599,0.0
learned · rbf→pinnmamba · joint baseline,2126,late,0.0,42,300049,0.0,0.1,0.6914860454903267,0.6873451015108341,0.004140943979492606,0.8195959301384297,0.8077498960176911,0.011846034120738591,0.8247469362478113,0.8221897476535235,0.0025571885942877737,0.9596562409520127,0.9660751351928486,0.6688743288396781,0.2341136336326599,0.24505150318145752,4.6720344215236365
learned · rbf→pinnmamba · joint baseline,2126,late,0.0,42,300049,0.0,0.25,0.6914860454903267,0.6557075481983177,0.03577849729200899,0.8195959301384297,0.7731579667574493,0.046437963380980385,0.8247469362478113,0.8068832592577498,0.017863676990061417,0.9596562409520127,1.0137760720453657,5.639501811572044,0.2341136336326599,0.2773163616657257,18.45374289515056
learned · rbf→pinnmamba · joint baseline,5001,late,0.0,42,300049,0.0,0.0,-2.2394446869252937,-2.2394446869252937,0.0,-0.3038659405087152,-0.3038659405087152,0.0,-1.1307817174538584,-1.1307817174538584,0.0,7.803516934645778,7.803516934645778,0.0,6.576413631439209,6.576413631439209,0.0
learned · rbf→pinnmamba · joint baseline,5001,late,0.0,42,300049,0.0,0.1,-2.2394446869252937,-2.258782428837434,0.019337741912140327,-0.3038659405087152,-0.3064458400590213,0.0025798995503061306,-1.1307817174538584,-1.14841891576875,0.017637198314891744,7.803516934645778,7.826773677573993,0.29802899286295426,6.576413631439209,6.612634181976318,0.5507644829995695
learned · rbf→pinnmamba · joint baseline,5001,late,0.0,42,300049,0.0,0.25,-2.2394446869252937,-2.2524615689638554,0.013016882038561661,-0.3038659405087152,-0.41678710452204304,0.11292116401332786,-1.1307817174538584,-1.1468289070231212,0.016047189569262876,7.803516934645778,7.819179437474752,0.20071082000778434,6.576413631439209,6.568549633026123,-0.11957882903671538
learned · rbf→pinnmamba · joint baseline,2247,late,0.0,42,300049,0.0,0.0,0.8335640720489353,0.8335640720489353,0.0,0.7310443424805585,0.7310443424805585,0.0,0.720754360095023,0.720754360095023,0.0,0.8653073545689225,0.8653073545689225,0.0,0.16906362771987915,0.16906362771987915,0.0
learned · rbf→pinnmamba · joint baseline,2247,late,0.0,42,300049,0.0,0.1,0.8335640720489353,0.8326306241554158,0.0009334478935195678,0.7310443424805585,0.7246627045849647,0.006381637895593761,0.720754360095023,0.7212924933856961,-0.0005381332906730929,0.8653073545689225,0.8677304791559307,0.2800305087219982,0.16906362771987915,0.17198938131332397,1.7305635948451867
learned · rbf→pinnmamba · joint baseline,2247,late,0.0,42,300049,0.0,0.25,0.8335640720489353,0.8166631731636104,0.016900898885324978,0.7310443424805585,0.7112381904860797,0.01980615199447877,0.720754360095023,0.7168752433387762,0.0038791167562468587,0.8653073545689225,0.9081795309070636,4.954560493652466,0.16906362771987915,0.18507759273052216,9.472152719434414
learned · rbf→pinnmamba · joint baseline,4022,late,0.0,42,300049,0.0,0.0,0.32713290580428345,0.32713290580428345,0.0,0.34566085613723474,0.34566085613723474,0.0,0.507944820966654,0.507944820966654,0.0,3.1547026854469076,3.1547026854469076,0.0,0.29911625385284424,0.29911625385284424,0.0
learned · rbf→pinnmamba · joint baseline,4022,late,0.0,42,300049,0.0,0.1,0.32713290580428345,0.3132516385314158,0.013881267272867648,0.34566085613723474,0.36410235133979607,-0.01844149520256133,0.507944820966654,0.5109559982732076,-0.0030111773065535363,3.1547026854469076,3.1870773682043025,1.0262356229873575,0.29911625385284424,0.31331580877304077,4.747169281941551
learned · rbf→pinnmamba · joint baseline,4022,late,0.0,42,300049,0.0,0.25,0.32713290580428345,0.26282369298931163,0.06430921281497182,0.34566085613723474,0.34890327442741853,-0.0032424182901837906,0.507944820966654,0.4947589647195325,0.013185856247121541,3.1547026854469076,3.3020182910240603,4.669714399925565,0.29911625385284424,0.35296982526779175,18.004227694507623
learned · rbf→pinnmamba · joint baseline,4023,late,0.0,42,300049,0.0,0.0,0.49854786930100337,0.49854786930100337,0.0,0.43927865746620387,0.43927865746620387,0.0,0.6493719062397433,0.6493719062397433,0.0,2.2787037423205403,2.2787037423205403,0.0,0.25962743163108826,0.25962743163108826,0.0
learned · rbf→pinnmamba · joint baseline,4023,late,0.0,42,300049,0.0,0.1,0.49854786930100337,0.4899000879732811,0.00864778132772226,0.43927865746620387,0.41285933708646005,0.026419320379743816,0.6493719062397433,0.6444388699155645,0.004933036324178741,2.2787037423205403,2.29826841914678,0.8585879973285152,0.25962743163108826,0.25852152705192566,-0.42595829424296267
learned · rbf→pinnmamba · joint baseline,4023,late,0.0,42,300049,0.0,0.25,0.49854786930100337,0.4340906411883433,0.06445722811266008,0.43927865746620387,0.36102806597571657,0.0782505914904873,0.6493719062397433,0.6248141801154105,0.024557726124332824,2.2787037423205403,2.4207311748154297,6.232816923811884,0.25962743163108826,0.28211382031440735,8.661021888962264
learned · rbf→pinnmamba · joint baseline,5009,late,0.0,42,300049,0.0,0.0,0.2045732359394743,0.2045732359394743,0.0,0.5787461709262031,0.5787461709262031,0.0,0.1635718691203103,0.1635718691203103,0.0,3.0001661254926826,3.0001661254926826,0.0,0.9607029557228088,0.9607029557228088,0.0
